restaurantname,pricerange,area,crowdedness,length of stay,food,food quality,phone,addr,postcode
saint johns chop house,moderate,west,busy,long stay,british,good food,01223 353110,21 - 24 northampton street,c.b 3
restaurant alimentum,moderate,north,busy,short stay,modern european,good food,01223 413000,152 - 154 hills road,c.b 2
pizza hut cherry hinton,moderate,south,busy,long stay,italian,good food,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1
the gardenia,moderate,west,quiet,long stay,romanian,good food,01223 356354,2 rose crescent city centre,c.b 2
loch fyne,moderate,centre,busy,long stay,seafood,high quality food,01223 362433,the little rose 37 trumpington street,c.b 2
yu garden,expensive,east,quiet,long stay,chinese,high quality food,01223 248882,529 newmarket road fen ditton,c.b 5
sitar tandoori,expensive,east,busy,short stay,steakhouse,high quality food,01223 249955,43 high street cherry hinton cherry hinton,c.b 1
saigon city,expensive,north,quiet,long stay,asian oriental,good food,01223 356555,169 high street chesterton chesterton,c.b 4
restaurant two two,expensive,north,busy,long stay,french,high quality food,01223 351880,22 chesterton road chesterton,c.b 4
the hotpot,expensive,north,busy,short stay,chinese,good food,01223 366552,66 chesterton road chesterton,c.b 4
nandos,cheap,south,busy,long stay,portuguese,good food,01223 327908,cambridge leisure park clifton way,c.b 1
peking restaurant,expensive,south,busy,short stay,chinese,high quality food,01223 354755,10 homerton street city centre,c.b 2
rajmahal,moderate,east,quiet,long stay,indian,high quality food,01223 244955,7 barnwell road fen ditton,c.b 5
pizza hut fen ditton,moderate,east,busy,long stay,italian,good food,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5
the missing sock,cheap,south,busy,long stay,chinese,good food,01223 812660,finders corner newmarket road,c.b 25
royal standard,expensive,east,busy,short stay,spanish,good food,01223 247877,290 mill road city centre,c.b 1
grafton hotel restaurant,expensive,east,busy,long stay,british,high quality food,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5
dojo noodle bar,expensive,centre,busy,long stay,asian oriental,good food,01223 363471,40210 millers yard city centre,c.b 2
cambridge lodge restaurant,expensive,west,quiet,long stay,european,good food,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3
thanh binh,cheap,west,quiet,long stay,vietnamese,good food,01223 362456,17 magdalene street city centre,c.b 3
stazione restaurant and coffee bar,expensive,centre,busy,short stay,korean,high quality food,01223 352607,market hill city centre,
cote,expensive,centre,quiet,long stay,french,high quality food,01223 311053,bridge street city centre,c.b 2
cotto,moderate,centre,busy,short stay,british,good food,01223 302010,183 east road city centre,c.b 1
bangkok city,expensive,centre,quiet,long stay,thai,good food,01223 354382,24 green street city centre,c.b 2
frankie and bennys,expensive,south,busy,long stay,italian,good food,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1
the cow pizza kitchen and bar,moderate,centre,quiet,long stay,moroccan,good food,01223 308871,corn exchange street,c.b 2
eraina,expensive,centre,quiet,long stay,european,good food,01223 368786,free school lane city centre,c.b 2
curry garden,expensive,centre,quiet,long stay,asian oriental,high quality food,01223 302330,106 regent street city centre,
mahal of cambridge,cheap,centre,busy,short stay,indian,good food,01223 360409,3 - 5 millers yard mill lane,
golden wok,moderate,north,busy,short stay,asian oriental,high quality food,01223 350688,191 histon road chesterton,c.b 4
meghna,moderate,north,busy,long stay,indian,good food,01223 727410,205 victoria road chesterton,c.b 4
the nirala,moderate,north,quiet,short stay,indian,high quality food,01223 360966,7 milton road chesterton,c.b 4
michaelhouse cafe,expensive,centre,busy,short stay,european,high quality food,01223 309147,st. michael's church trinity street city centre,c.b 2
efes restaurant,moderate,centre,quiet,short stay,swiss,high quality food,01223 500005,king street city centre,c.b 1
chiquito restaurant bar,expensive,south,busy,long stay,european,high quality food,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1
caffe uno,expensive,centre,busy,long stay,italian,high quality food,01223 448620,32 bridge street city centre,
j restaurant,cheap,centre,quiet,long stay,fusion,good food,01223 307581,86 regent street city centre,c.b 2
la margherita,cheap,south,busy,short stay,italian,good food,01223 315232,15 magdalene street city centre,c.b 3
cocum,expensive,east,quiet,short stay,gastropub,good food,01223 366668,71 castle street city centre,c.b 3
city stop restaurant,expensive,north,busy,long stay,tuscan,good food,01223 363270,cambridge city football club milton road chesterton,
sala thong,expensive,west,busy,short stay,thai,high quality food,01223 323178,35 newnham road newnham,c.b 3
don pasquale pizzeria,expensive,south,quiet,long stay,european,good food,01223 350106,12 market hill city centre,
little seoul,expensive,centre,busy,short stay,korean,high quality food,01223 308681,108 regent street city centre,c.b 2
